algorithm,number of nodes,weight,run time
CNN,10,128.38612896356904,0.00045759999193251133
CR,10,128.38612896356904,0.0002933000214397907
CNN,10,128.38612896356904,0.00034520006738603115
CR,10,128.38612896356904,0.0002891999902203679
CNN,10,128.38612896356904,0.00034710008185356855
CR,10,128.38612896356904,0.0002872999757528305
CNN,10,128.38612896356904,0.0003643000964075327
CR,10,128.38612896356904,0.0002875999780371785
CNN,10,128.38612896356904,0.0004569999873638153
CR,10,227.87424145674672,0.00046600005589425564
CNN,10,357.0338483992455,0.0007142999675124884
CR,10,190.91593088767743,0.0005222000181674957
CNN,10,192.24177995543897,0.0008177000563591719
CR,10,170.48056927985428,0.0004915999015793204
CNN,10,178.8367387458586,0.000664199935272336
CR,10,227.87424145674672,0.00048100005369633436
CNN,10,227.87424145674672,0.0006442000158131123
CR,10,190.21367183793714,0.00044169998727738857
CNN,10,218.01631868269817,0.0009125999640673399
CR,10,153.4985108778513,0.00039059994742274284
CNN,10,153.4985108778513,0.0004387999651953578
CR,10,217.64864752922108,0.0006035999394953251
CNN,10,232.8131473028703,0.0010318000568076968
CR,10,153.49851087785132,0.0006243999814614654
CNN,10,153.49851087785132,0.0007204000139608979
CR,10,232.4829021288503,0.0006533999694511294
CNN,10,249.01728620642254,0.000815899926237762
CR,10,153.49851087785132,0.00043590005952864885
CNN,10,153.49851087785132,0.0004512000596150756
CR,10,303.1087145360363,0.0006932999240234494
CNN,10,305.51365246973,0.0009258999489247799
CR,10,240.16200550536436,0.0007541000377386808
CNN,10,248.91758119776526,0.000977699994109571
CR,10,216.2188192131399,0.0007126000709831715
CNN,10,235.0480408555461,0.0008605000330135226
CR,10,240.16200550536436,0.0007081999210640788
CNN,10,248.91758119776526,0.0009627999970689416
CR,10,285.5070849194818,0.000701199984177947
CNN,10,298.791428069487,0.0009357000235468149
CR,10,214.57348630393577,0.0005844999104738235
CNN,10,229.30730498867746,0.0008986999746412039
CR,10,256.14173118031147,0.000560099957510829
CNN,10,251.3122020735828,0.0007835999131202698
CR,10,216.46603955464994,0.0005580999422818422
CNN,10,226.7151095912904,0.0007893999572843313
CR,10,208.0247548092721,0.0005542999133467674
CNN,10,214.65963591677843,0.0008551999926567078
CR,10,208.56544161600738,0.000596500001847744
CNN,10,230.18167193050954,0.0007392000406980515
CR,10,263.6437617256913,0.0004798000445589423
CNN,10,260.11455459359627,0.0008017000509425998
CR,10,263.6437617256913,0.0004868999822065234
CNN,10,260.11455459359627,0.0006792000494897366
CR,10,264.25202360879564,0.00045819999650120735
CNN,10,375.2141054751463,0.000696200062520802
CR,10,269.64198238956425,0.000566599890589714
CNN,10,242.62360270459578,0.0006887000054121017
CR,10,239.24929443041094,0.00046689994633197784
CNN,10,217.45199005074255,0.0006577000021934509
CR,10,252.7352703601632,0.0007052000146359205
CNN,10,267.35374666085727,0.00112439994700253
CR,10,226.7749326832397,0.0006663999520242214
CNN,10,254.1507158965152,0.0009183000074699521
CR,10,264.1104879891226,0.0006825000746175647
CNN,10,268.73048824796854,0.0010163000551983714
CR,10,217.37935292419286,0.0006949000526219606
CNN,10,357.26075268852827,0.0009166999952867627
CR,10,253.84462479857504,0.0006884000031277537
CNN,10,390.4688223003438,0.0009411999490112066
CR,10,194.22698403407696,0.0006912000244483352
CNN,10,194.2276302900334,0.0007601000834256411
CR,10,173.94697795587393,0.0005664000054821372
CNN,10,173.94697795587393,0.0006346999434754252
CR,10,173.9469779558739,0.0005640999879688025
CNN,10,173.9469779558739,0.000853799981996417
CR,10,173.94697795587393,0.0005768999690189958
CNN,10,173.94697795587393,0.0006354999495670199
CR,10,173.9469779558739,0.0005574999377131462
CNN,10,173.9469779558739,0.0006407001055777073
CR,10,211.4069620587901,0.000395099981687963
CNN,10,219.3164741168774,0.0008440999081358314
CR,10,200.02060418612723,0.00038869993295520544
CNN,10,223.07195595045027,0.0007523999083787203
CR,10,197.68766901957315,0.00036890001501888037
CNN,10,260.0512338500416,0.00044540001545101404
CR,10,197.68766901957315,0.00037180003710091114
CNN,10,260.0512338500416,0.0005162999732419848
CR,10,206.26541935949226,0.0003842000151053071
CNN,10,303.2789995997865,0.0006511000683531165
CR,10,225.02351968035273,0.0004205999430269003
CNN,10,243.88777442118638,0.0007553999312222004
CR,10,230.02590262883714,0.0004357999423518777
CNN,10,358.25848509282974,0.000596199999563396
CR,10,233.94545866682287,0.0004238000838086009
CNN,10,228.11305019300292,0.0006678999634459615
CR,10,232.972000525841,0.0004237999673932791
CNN,10,231.09431527119148,0.000735500012524426
CR,10,232.972000525841,0.00041550002060830593
CNN,10,231.09431527119148,0.0006541999755427241
CR,10,227.62433829915727,0.0006494000554084778
CNN,10,228.1564076312125,0.000994799891486764
CR,10,224.27769912694674,0.0006475999252870679
CNN,10,255.27921428070317,0.0008985999738797545
CR,10,227.62433829915727,0.0006542999763041735
CNN,10,228.1564076312125,0.0008952000644057989
CR,10,226.98024458693698,0.000812400016002357
CNN,10,336.9922780747592,0.0009132999693974853
CR,10,205.18582006543252,0.0006923000328242779
CNN,10,235.1823643835177,0.0009643000084906816
CR,10,300.7021693851421,0.0004762000171467662
