algorithm,number of nodes,weight,run time
CNN,50,3909.3517866023276,0.08803660003468394
CR,50,3236.9026926358547,0.014217599993571639
CNN,50,2552.528706810661,0.0682890999596566
CR,50,2799.80643269811,0.015862699947319925
CNN,50,3842.3941712200303,0.06494670000392944
CR,50,3084.438008581038,0.015674400026910007
CNN,50,2530.89865884645,0.07653169997502118
CR,50,2774.508201192589,0.015994899906218052
CNN,50,2266.8164617096922,0.08199830004014075
CR,50,2991.133773709525,0.016350299934856594
CNN,50,3561.979401554805,0.07449150003958493
CR,50,2757.902980287854,0.015815800055861473
CNN,50,3679.656698384528,0.07845369994174689
CR,50,2831.1580032831316,0.007167699979618192
CNN,50,3710.732495569153,0.0578409000299871
CR,50,3307.043810199508,0.0072330000111833215
CNN,50,2637.233885246185,0.068731400067918
CR,50,3229.255954181849,0.007235699915327132
CNN,50,3727.938036881782,0.06993959995452315
CR,50,3187.4182802087507,0.007279600016772747
CNN,50,3742.9515129906567,0.06735100003425032
CR,50,3088.632167181222,0.007267399923875928
CNN,50,3757.9016475234907,0.06294580001849681
CR,50,3809.6541776883073,0.022477000020444393
CNN,50,3088.970317413895,0.09737490001134574
CR,50,4007.9866294223216,0.022062000003643334
CNN,50,3111.55974589654,0.10749940003734082
CR,50,4014.7118996922954,0.02258709992747754
CNN,50,2901.8259672409677,0.0932162000099197
CR,50,3621.8546723026616,0.02269060001708567
CNN,50,4484.318898434188,0.10123529995325953
CR,50,3400.4539010070416,0.022347399964928627
CNN,50,2988.4713437142923,0.0874824000056833
CR,50,3017.642735351779,0.01385139999911189
CNN,50,2481.166832117586,0.06311690004076809
CR,50,2589.5758694654164,0.0139435000019148
CNN,50,3474.4260179326284,0.03431710007134825
CR,50,2634.4624052922763,0.013967800070531666
CNN,50,3649.0386071112653,0.039617400034330785
CR,50,2695.651269448271,0.0140250000404194
CNN,50,2440.856300597002,0.04208939999807626
CR,50,2473.2329328008154,0.013980899937450886
CNN,50,3584.1845214624964,0.04437589994631708
CR,50,3566.480578502955,0.010031100013293326
CNN,50,3688.4194996467413,0.09093389997724444
CR,50,2922.110929888125,0.009969200007617474
CNN,50,2897.4816159642323,0.08339599997270852
CR,50,3044.9544271807836,0.010072099976241589
CNN,50,3939.3754882640987,0.07910140010062605
CR,50,3175.0918587358797,0.010311300051398575
CNN,50,2713.3325875846026,0.08729759999550879
CR,50,3319.287047481584,0.009790100040845573
CNN,50,3936.382513093255,0.08639129996299744
CR,50,2762.042695928882,0.011979299946688116
CNN,50,3524.9638279168144,0.04433569998946041
CR,50,2824.533822586267,0.011846499983221292
CNN,50,2505.2737761114004,0.05172209988813847
CR,50,2760.470661504629,0.011974800028838217
CNN,50,3361.4764768649934,0.054545899969525635
CR,50,2747.4824314387038,0.011825800058431923
CNN,50,2307.545195046572,0.04836400004569441
CR,50,2904.947159019125,0.01191070000641048
CNN,50,2442.8046019513827,0.060296299983747303
CR,50,2977.7841089733706,0.009042900055646896
CNN,50,2696.9114491317177,0.0458511000033468
CR,50,3367.2140897372487,0.00904059992171824
CNN,50,2584.153411195108,0.04821839998476207
CR,50,2971.8012855765564,0.00917989993467927
CNN,50,4130.587058548591,0.06997570011299103
CR,50,3404.674031527823,0.009160500019788742
CNN,50,2920.3949516714356,0.058614999987185
CR,50,3087.2566493813756,0.009041800047270954
CNN,50,2899.3137271726846,0.06504350004252046
CR,50,2746.700016366734,0.012465100036934018
CNN,50,2540.9415052455292,0.060048599960282445
CR,50,2950.8695049053667,0.012579999980516732
CNN,50,3685.938849015742,0.06408549996558577
CR,50,2692.867055541525,0.012433000025339425
CNN,50,3417.7110253357832,0.08144670003093779
CR,50,2912.456477993929,0.01247209997382015
CNN,50,2717.3761723154053,0.06644690001849085
CR,50,2912.456477993929,0.01254609995521605
CNN,50,2717.3761723154053,0.06582140002865344
CR,50,3349.0015057905966,0.009723499999381602
CNN,50,2905.563674651504,0.07165250007528812
CR,50,3754.314410255822,0.009890899993479252
CNN,50,3012.037916631403,0.0777668000664562
CR,50,3764.474449223133,0.009919699979946017
CNN,50,2823.757513736962,0.0846450999379158
CR,50,3754.314410255822,0.009914000052958727
CNN,50,3012.037916631403,0.07806040009018034
CR,50,3266.254973815431,0.009920999989844859
CNN,50,2944.9366490588095,0.056869299965910614
CR,50,3685.520682596164,0.01782990002539009
CNN,50,4298.682241199605,0.08754450001288205
CR,50,3617.0278003213075,0.017895399942062795
CNN,50,3028.558574154426,0.0986150000244379
CR,50,3341.5954133294667,0.017965300008654594
CNN,50,3906.975723940288,0.10590169997885823
CR,50,3385.137790128104,0.018088400014676154
CNN,50,3968.947127725121,0.10651209997013211
CR,50,3380.8499728089273,0.01809479994699359
CNN,50,3993.5429238826327,0.1091761999996379
CR,50,2747.5877251353995,0.006117899902164936
CNN,50,3480.3830013783418,0.10289210011251271
CR,50,3223.1602650129726,0.006139799952507019
CNN,50,3655.61533312587,0.09646130003966391
CR,50,3146.7366658653727,0.006099199992604554
CNN,50,2834.3201436632594,0.10417140007484704
CR,50,3140.434240872039,0.006128499982878566
CNN,50,3713.174110583155,0.09310350008308887
CR,50,2987.114183781018,0.006107600056566298
CNN,50,3812.178000490231,0.09384609991684556
CR,50,2910.673349393678,0.013263399945572019
CNN,50,3797.394186858532,0.04633240005932748
CR,50,3281.8627359485386,0.01267789991106838
CNN,50,2618.453794606666,0.08920600009150803
CR,50,3144.390761943895,0.01298490003682673
CNN,50,3792.1930136829274,0.07247829996049404
CR,50,2630.507358262798,0.012861000024713576
CNN,50,3834.91107522336,0.04898199997842312
CR,50,3243.1869930156954,0.012846300029195845
CNN,50,3851.9744829415113,0.05577680002897978
CR,50,3510.464170904143,0.014799299999140203
CNN,50,4190.931779122122,0.07946979999542236
CR,50,3560.708223289183,0.014927500043995678
CNN,50,2891.2660634623267,0.08306499989703298
