algorithm,number of nodes,k,weight,run time
CNN,50,5,1656.8862685687816,0.009756800020113587
CR,50,5,1633.856431261906,0.007468600058928132
CNN,50,5,1633.856431261906,0.010146299959160388
CR,50,5,1623.6959797084546,0.007457799976691604
CNN,50,5,1623.6959797084546,0.009742300026118755
CR,50,5,1633.856431261906,0.0074529999401420355
CNN,50,5,1633.856431261906,0.010003799921832979
CR,50,5,1516.1679265319353,0.011599099962040782
CNN,50,5,1516.1679265319353,0.01381170004606247
CR,50,5,1567.6923333248076,0.011485000024549663
CNN,50,5,1567.6923333248076,0.013914800016209483
CR,50,5,1508.9090468593163,0.011551500065252185
CNN,50,5,1508.9090468593163,0.014393899939022958
CR,50,5,1567.9987806541642,0.011476699961349368
CNN,50,5,1567.9987806541642,0.013886200031265616
CR,50,5,1559.1210111117653,0.011447499971836805
CNN,50,5,1559.1210111117653,0.014022200019098818
CR,50,5,1580.4640055073155,0.010288899997249246
CNN,50,5,1580.4640055073155,0.012264300021342933
CR,50,5,1562.5357960192575,0.010041099973022938
CNN,50,5,1562.5357960192575,0.0124292999971658
CR,50,5,1573.6371082791263,0.01001570001244545
CNN,50,5,1573.6371082791263,0.012369500007480383
CR,50,5,1571.9029815317829,0.010046300012618303
CNN,50,5,1571.9029815317829,0.0124719999730587
CR,50,5,1541.4760653956673,0.009995099972002208
CNN,50,5,1541.4760653956673,0.012449599918909371
CR,50,5,1807.0429652060254,0.008196399896405637
CNN,50,5,1812.0661818665828,0.012897699954919517
CR,50,5,1810.6125279524103,0.008295999956317246
CNN,50,5,1852.0358556741876,0.013768400065600872
CR,50,5,1820.7453187060962,0.008452099980786443
CNN,50,5,1905.9528791433754,0.013399500050581992
CR,50,5,1859.2129900633877,0.008277399931102991
CNN,50,5,1922.5017704428465,0.013551699928939342
CR,50,5,1860.7860360143786,0.00820209993980825
CNN,50,5,1875.5720502675265,0.013582699932157993
CR,50,5,1641.568375208181,0.007973900064826012
CNN,50,5,1641.568375208181,0.01030910003464669
CR,50,5,1641.5683752081816,0.007944899960421026
CNN,50,5,1641.5683752081816,0.01030330010689795
CR,50,5,1635.6188171858992,0.008003200055100024
CNN,50,5,1635.6188171858992,0.010521500022150576
CR,50,5,1660.4924124170363,0.007883099955506623
CNN,50,5,1660.4924124170363,0.010353999910876155
CR,50,5,1656.6220044774107,0.008043500012718141
CNN,50,5,1656.6220044774107,0.01032690005376935
CR,50,5,1692.4791425064784,0.010849100071936846
CNN,50,5,1692.4791425064784,0.012920400011353195
CR,50,5,1698.193410203115,0.010523799923248589
CNN,50,5,1698.193410203115,0.013284199987538159
CR,50,5,1701.5386249313049,0.010922800051048398
CNN,50,5,1701.5386249313049,0.013285199995152652
CR,50,5,1692.4791425064784,0.01084529992658645
CNN,50,5,1692.4791425064784,0.013221000088378787
CR,50,5,1679.7238675941016,0.010768899926915765
CNN,50,5,1679.7238675941016,0.013264600071124732
CR,50,5,1590.0539935688246,0.005190700059756637
CNN,50,5,1590.0539935688246,0.007443699985742569
CR,50,5,1572.458135389137,0.005029899999499321
CNN,50,5,1572.458135389137,0.007339500007219613
CR,50,5,1604.0059976084135,0.005069699953310192
CNN,50,5,1604.0059976084135,0.007581800105981529
CR,50,5,1585.9201628685812,0.005085799959488213
CNN,50,5,1585.9201628685812,0.00735470000654459
CR,50,5,1595.0942586843996,0.005055799963884056
CNN,50,5,1595.0942586843996,0.007405299926176667
CR,50,5,1753.8908197442454,0.016369099961593747
CNN,50,5,1753.8908197442454,0.018478200072422624
CR,50,5,1778.445551290884,0.016837299917824566
CNN,50,5,1778.445551290884,0.018512299982830882
CR,50,5,1786.680560725284,0.016317400033585727
CNN,50,5,1786.680560725284,0.018713299999944866
CR,50,5,1783.532252262725,0.01648150000255555
CNN,50,5,1783.532252262725,0.018629199941642582
CR,50,5,1728.7236386353718,0.016342699993401766
CNN,50,5,1728.7236386353718,0.018769299960695207
CR,50,5,1517.5702510570527,0.007947200094349682
CNN,50,5,1517.5702510570527,0.010146699962206185
CR,50,5,1524.6389835826958,0.007820199942216277
CNN,50,5,1524.6389835826958,0.010129600064828992
CR,50,5,1520.894290971065,0.007822599960491061
CNN,50,5,1520.894290971065,0.010420000064186752
CR,50,5,1538.6283481536084,0.008020699955523014
CNN,50,5,1538.6283481536084,0.010345800081267953
CR,50,5,1520.894290971065,0.0077197999926283956
CNN,50,5,1520.894290971065,0.010260500013828278
CR,50,5,1693.3206741015906,0.008407499990426004
CNN,50,5,1693.3206741015906,0.010735000018030405
CR,50,5,1625.5086927378388,0.008467599982395768
CNN,50,5,1625.5086927378388,0.01116990006994456
CR,50,5,1667.6010708918593,0.008356699952855706
CNN,50,5,1667.6010708918593,0.01062009995803237
CR,50,5,1658.0363446189974,0.008366500027477741
CNN,50,5,1658.0363446189974,0.010673100012354553
CR,50,5,1686.637154327737,0.008320300024934113
CNN,50,5,1686.637154327737,0.0106112000066787
CR,50,5,1594.5584089235927,0.007067899918183684
CNN,50,5,1594.5584089235927,0.009456000057980418
CR,50,5,1607.576132776515,0.006940999999642372
CNN,50,5,1607.576132776515,0.009240799932740629
CR,50,5,1565.3759592867184,0.006886399933137
CNN,50,5,1565.3759592867184,0.00919490004889667
CR,50,5,1611.0294404848973,0.006951100076548755
CNN,50,5,1611.0294404848973,0.009416699991561472
CR,50,5,1603.058345110016,0.007023300044238567
CNN,50,5,1603.058345110016,0.009335600072517991
CR,50,5,1610.242049192291,0.013964399928227067
CNN,50,5,1610.242049192291,0.016522700083442032
CR,50,5,1610.2420491922912,0.013994900044053793
CNN,50,5,1610.2420491922912,0.016423000022768974
CR,50,5,1604.3625270860166,0.01401899999473244
CNN,50,5,1604.3625270860166,0.01632860000245273
CR,50,5,1664.7054479621554,0.01399969996418804
CNN,50,5,1664.7054479621554,0.016639300039969385
